"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2025-11-11","Perfil ""U"" Marafon","16:40","16:52","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","16:52","17:20","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-12","Conformadora de Telhas","07:20","07:50","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","07:50","08:50","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","13:10","13:30","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","13:30","14:20","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-12","Conformadora de Telhas","14:20","15:15","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","15:15","15:30","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","15:30","17:00","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","17:00","17:33","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","06:30","07:00","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","07:00","07:20","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","08:50","09:40","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","09:40","09:50","IN024","Aguardando equipamento compartilhado","IND",""
"2025-11-12","Conformadora de Telhas","09:50","11:00","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","11:00","11:30","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-12","Conformadora de Telhas","11:30","11:50","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","11:50","12:10","TU001","Produção","TU",""
"2025-11-12","Conformadora de Telhas","12:10","13:10","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","08:50","11:40","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","11:40","12:10","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","12:10","13:10","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","13:10","13:30","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","13:30","14:10","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","14:40","14:50","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","14:50","15:30","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","15:30","16:00","TU001","Produção","TU",""
"2026-02-24","Perf. Telha Trapezoidal Marafon","16:00","16:48","TU001","Produção","TU",""
"2026-02-19","Prensa Debrum 03","07:00","07:10","TU003","Produção Velocidade Reduzida","TU",""
"2026-02-19","Prensa Debrum 03","07:10","11:30","TU001","Produção","TU",""
"2026-02-19","Prensa Debrum 03","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-19","Prensa Debrum 03","12:30","16:49","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","07:00","11:30","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-23","Prensa Debrum 03","12:30","16:50","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","07:00","07:10","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","07:10","08:10","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","08:10","08:15","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","08:15","09:10","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","09:10","09:15","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","09:15","10:05","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","10:05","10:10","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","10:10","10:55","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","10:55","11:00","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","11:00","11:30","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-23","Prensa Debrum 03","12:30","13:15","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","13:15","13:20","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","13:20","14:15","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","14:15","14:20","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","14:20","15:25","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","15:25","15:30","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","15:30","16:20","TU001","Produção","TU",""
"2026-02-23","Prensa Debrum 03","16:20","16:26","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Debrum 03","16:26","16:48","TU001","Produção","TU",""
"2026-02-23","Prensa Estampa 04","07:00","11:30","TU001","Produção","TU",""
"2026-02-23","Prensa Estampa 04","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-23","Prensa Estampa 04","12:30","16:48","TU001","Produção","TU",""
"2026-02-20","Prensa Estampa 04","07:00","11:30","TU001","Produção","TU",""
"2026-02-20","Prensa Estampa 04","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-20","Prensa Estampa 04","12:30","16:48","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 02","07:00","07:10","IN038","Aguardando a entrega de EPI","IND",""
"2026-02-23","Prensa Recorte 02","07:10","11:30","IN033","Revezamento","IND",""
"2026-02-23","Prensa Recorte 02","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-23","Prensa Debrum 03","12:30","15:00","IN033","Revezamento","IND",""
"2026-02-23","Prensa Debrum 03","15:00","15:30","RE005","Regulagem-Problema Ferramental","RET",""
"2026-02-23","Prensa Debrum 03","15:30","16:48","TU001","Produção","TU",""
"2026-02-20","Rodadeira 01","07:00","07:10","TU001","Produção","TU",""
"2026-02-20","Rodadeira 01","07:10","11:30","TU001","Produção","TU",""
"2026-02-20","Rodadeira 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-20","Rodadeira 01","12:30","16:48","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","07:00","08:35","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","08:35","08:40","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Debrum 03","08:40","09:35","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","09:35","09:40","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Debrum 03","09:40","10:40","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","10:40","10:45","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Debrum 03","10:45","11:30","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-20","Prensa Debrum 03","12:30","12:55","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","12:55","13:00","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Debrum 03","13:00","14:15","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","14:15","14:20","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Debrum 03","14:20","15:30","TU001","Produção","TU",""
"2026-02-20","Prensa Debrum 03","15:30","15:35","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Recorte 01","07:00","07:10","IN038","Aguardando a entrega de EPI","IND",""
"2026-02-23","Prensa Recorte 01","07:10","08:00","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","08:00","08:05","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","08:05","09:30","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","09:30","09:35","TU002","Carregamento de bobina/matéria prima","IND",""
