"DATA","MAQUINA","CODIGO","QTD","DESCRICAO","DESTINO","COMP","PESO_TOTAL"
"2026-02-06","Rodadeira 01","81823","687","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Prensa Recorte 01","81823","450","CACAMBA M 50 5.0","Estoque","",""
"2026-02-09","Prensa Recorte 01","81627","1250","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-06","Prensa Recorte 01","81823","1665","CACAMBA M 50 5.0","Estoque","",""
"2026-02-06","Prensa Estampa 09","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-05","Prensa Estampa 09","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-05","Prensa Estampa 04","81627","275","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-04","Prensa Estampa 09","81667","920","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-04","Prensa Estampa 04","81667","239","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-02-03","Prensa Estampa 04","81627","325","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-05","Prensa Recorte 02","81626","1473","CACAMBA M 40 POP","Estoque","",""
"2026-02-05","Prensa Recorte 01","81823","1550","CACAMBA M 50 5.0","Estoque","",""
"2026-02-05","Prensa Recorte 01","81627","887","CACAMBA M 40 POP GALV","Estoque","",""
"2026-02-05","Prensa Recorte 01","81823","683","CACAMBA M 50 5.0","Estoque","",""
"2026-01-16","Prensa Estampa 04","81627","539","CACAMBA M 40 POP GALV","Estoque","",""
"2026-01-16","Prensa Estampa 09","81667","570","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-01-16","Prensa Estampa 09","81627","649","CACAMBA M 40 POP GALV","Estoque","",""
"2026-01-16","Prensa Estampa 09","81626","853","CACAMBA M 40 POP","Estoque","",""
"2026-01-16","Rodadeira 01","81667","813","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-01-16","Prensa Debrum 03","81823","1039","CACAMBA M 50 5.0","Estoque","",""
"2026-01-16","Prensa Debrum 03","81627","200","CACAMBA M 40 POP GALV","Estoque","",""
"2026-01-16","Rodadeira 03","81053","763","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-01-16","Prensa Recorte 02","81053","696","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-01-16","Prensa Recorte 01","81823","674","CACAMBA M 50 5.0","Estoque","",""
"2026-01-16","Prensa Recorte 01","81055","398","CACAMBA M 60 SUPER","Estoque","",""
"2026-01-16","Prensa Recorte 01","81823","290","CACAMBA M 50 5.0","Estoque","",""
"2026-03-02","Rodadeira 02","81627","1150","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Rodadeira 02","81627","675","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Rodadeira 02","81627","1145","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-05","Rodadeira 02","81627","1200","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Rodadeira 02","81627","720","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Prensa Estampa 04","81627","750","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-02","Rodadeira 03","81667","730","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02004","100","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02006","100","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
